"SERVICEINSTNUM","ACCOUNT_NAME","CUSTOMER_SEGMENT","KAM_CATEGORY","SALES_DIVISION","SALES_DEPARTMENT","TERMINATION_REASON","TERM_REASON","MONT_TERMINATION_DATE","MON_TERMINATION_DATE","YEAR_TERMINATION_DATE","CATEGORY_PRODUCT","PRODUCT_LV2","TARIF","TOTAL_BULJAR"
"2022337358","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338044","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338851","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022329511","YLC MITRA KONSULTINDO","SERVICES","NA","MRD, REGULAR AND ACQUISITION ACCOUNT","NATIONAL ACCOUNT 2","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",2700000,32400000
"2022336545","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336962","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337105","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2023346706","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171298,2055576
"2022336401","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022335725","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338686","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337352","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337707","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337115","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337714","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336977","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336573","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338680","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338684","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
